genus_name,B1,B2
ABIES,-2.5384,2.4814
ACER,-1.9123,2.3651
AESCULUS,-2.48,2.4835
ALNUS,-2.2094,2.3867
AMELANCHIER,-2.48,2.4835
ARAUCARIA,-2.48,2.4835
BETULA,-1.9123,2.3651
CALOCEDRUS,-2.0336,2.2592
CARPINUS,-2.5356,2.4349
CASTANEA,-2.48,2.4835
CATALPA,-2.48,2.4835
CEDRUS,-2.0336,2.2592
CELTIS,-2.48,2.4835
CERCIDIPHYLLUM,-2.5356,2.4349
CERCIS,-2.48,2.4835
CHAMAECYPARIS,-2.0336,2.2592
CHITALPA,-2.48,2.4835
CLADRASTIS,-2.0336,2.2592
CORNUS,-2.48,2.4835
CORYLUS,-2.48,2.4835
CRATAEGUS,-2.48,2.4835
DAVIDIA,-2.48,2.4835
EUCOMMIA,-2.48,2.4835
FAGUS,-2.0127,2.4342
FRAXINUS,-2.48,2.4835
GINKGO,-2.48,2.4835
GLEDITSIA,-2.48,2.4835
GYMNOCLADUS,-2.48,2.4835
HIBISCUS,-2.48,2.4835
ILEX,-2.48,2.4835
JUGLANS,-2.48,2.4835
JUNIPERUS,-2.0336,2.2592
KOELREUTERIA,-2.48,2.4835
LABURNUM,-2.48,2.4835
LIQUIDAMBAR,-2.48,2.4835
LIRIODENDRON,-2.48,2.4835
MAGNOLIA,-2.48,2.4835
MALUS,-2.48,2.4835
MESPILUS,-2.48,2.4835
METASEQUOIA,-2.0336,2.2592
NOTHOFAGUS,-2.0127,2.4342
NYSSA,-2.48,2.4835
OSTRYIA,-2.48,2.4835
PARROTIA,-2.0773,2.3323
PICEA,-2.0773,2.3323
PINUS,-2.5356,2.4349
PLATANUS,-2.48,2.4835
POPULUS,-2.2094,2.3867
PRUNUS,-2.48,2.4835
PSEUDOTSUGA,-2.2304,2.4435
PTELEA,-2.48,2.4835
PTEROCARYA,-2.2304,2.4435
PYRUS,-2.48,2.4835
QUERCUS,-2.0127,2.4342
ROBINIA,-2.48,2.4835
SEQUOIA,-2.0336,2.2592
SEQUOIADENDRON,-2.0336,2.2592
SOPHORA,-2.48,2.4835
SORBUS,-2.48,2.4835
STEWARTIA,-2.48,2.4835
STYRAX,-2.48,2.4835
SYRINGA,-2.48,2.4835
THUJA,-2.0336,2.2592
TILIA,-2.48,2.4835
TSUGA,-2.5384,2.4814
ULMUS,-2.48,2.4835
ZELKOVA,-2.5384,2.4814
